category_title;word;count
Lifestyle            ;2;13
Lifestyle            ;3;13
Lifestyle            ;commercial;13
Lifestyle            ;cooking;13
Lifestyle            ;helbig;13
Lifestyle            ;up;13
Lifestyle            ;wings;13
Music                ;james;13
Music                ;no;13
Music                ;one;13
Music                ;song;13
Music                ;taylor;13
Science & Politics   ;black;13
Science & Politics   ;does;13
Science & Politics   ;google;13
Science & Politics   ;harry;13
Science & Politics   ;prince;13
Science & Politics   ;review;13
Science & Politics   ;super;13
Science & Politics   ;volcano;13
Sports               ;2;13
Sports               ;3;13
Sports               ;after;13
Theater & Animation  ;1;13
Theater & Animation  ;century;13
Theater & Animation  ;hbo;13
Theater & Animation  ;real;13
Theater & Animation  ;up;13
Theater & Animation  ;vs;13
Entertainment        ;abc;12
Entertainment        ;audition;12
Entertainment        ;bts;12
Entertainment        ;does;12
Entertainment        ;ep;12
Entertainment        ;ever;12
Entertainment        ;jennifer;12
Entertainment        ;marvel;12
Entertainment        ;night;12
Entertainment        ;open;12
Entertainment        ;performance;12
Entertainment        ;preview;12
Entertainment        ;reveals;12
Entertainment        ;scenes;12
Entertainment        ;shopping;12
Entertainment        ;solo;12
Lifestyle            ;baby;12
Lifestyle            ;bowl;12
Lifestyle            ;eating;12
Lifestyle            ;fashion;12
Lifestyle            ;like;12
Lifestyle            ;official;12
Lifestyle            ;simons;12
Lifestyle            ;vlog;12
Lifestyle            ;wild;12
Music                ;charlie;12
Music                ;dont;12
Music                ;ed;12
Music                ;like;12
Science & Politics   ;florida;12
Science & Politics   ;gadgets;12
Science & Politics   ;korea;12
Science & Politics   ;one;12
Science & Politics   ;speaks;12
Science & Politics   ;year;12
Sports               ;day;12
Sports               ;dude;12
Sports               ;match;12
Sports               ;warriors;12
Sports               ;wwe;12
Theater & Animation  ;20th;12
Theater & Animation  ;anwar;12
Theater & Animation  ;game;12
Theater & Animation  ;jedi;12
Theater & Animation  ;jibawi;12
Theater & Animation  ;lele;12
Theater & Animation  ;pons;12
Theater & Animation  ;theory;12
Theater & Animation  ;â€“;12
Entertainment        ;auditions;11
Entertainment        ;babish;11
Entertainment        ;baby;11
Entertainment        ;behind;11
Entertainment        ;complex;11
Entertainment        ;down;11
Entertainment        ;exclusive;11
Entertainment        ;game;11
Entertainment        ;jenner;11
Entertainment        ;life;11
Entertainment        ;look;11
Entertainment        ;make;11
Entertainment        ;see;11
Entertainment        ;sings;11
Entertainment        ;smith;11
Entertainment        ;sneaker;11
Entertainment        ;stephen;11
Entertainment        ;tmz;11
Entertainment        ;watch;11
Entertainment        ;youtubers;11
Lifestyle            ;4;11
Lifestyle            ;collection;11
Lifestyle            ;living;11
Lifestyle            ;suck;11
Lifestyle            ;vogue;11
Lifestyle            ;while;11
Lifestyle            ;youtube;11
Music                ;1;11
Music                ;acoustic;11
Music                ;album;11
Music                ;j;11
Music                ;man;11
Music                ;night;11
Music                ;performance;11
Music                ;remix;11
Science & Politics   ;10;11
Science & Politics   ;3;11
Science & Politics   ;3d;11
Science & Politics   ;best;11
Science & Politics   ;explained;11
Science & Politics   ;into;11
Science & Politics   ;larry;11
Science & Politics   ;making;11
Science & Politics   ;north;11
Science & Politics   ;science;11
Science & Politics   ;tech;11
Science & Politics   ;up;11
Science & Politics   ;view;11
Science & Politics   ;vs;11
Sports               ;about;11
Sports               ;cavaliers;11
Sports               ;nbc;11
Sports               ;sportscenter;11
Sports               ;win;11
Sports               ;winter;11
Theater & Animation  ;black;11
Theater & Animation  ;cyanide;11
Theater & Animation  ;dont;11
Theater & Animation  ;happiness;11
Theater & Animation  ;less;11
Theater & Animation  ;lip;11
Theater & Animation  ;look;11
Entertainment        ;24;10
Entertainment        ;announcement;10
Entertainment        ;answers;10
Entertainment        ;carpet;10
Entertainment        ;college;10
Entertainment        ;cut;10
Entertainment        ;during;10
Entertainment        ;episode;10
Entertainment        ;fan;10
Entertainment        ;food;10
Entertainment        ;inside;10
Entertainment        ;jessica;10
Entertainment        ;kuwtk;10
Entertainment        ;like;10
Entertainment        ;love;10
Entertainment        ;makes;10
Entertainment        ;no;10
Entertainment        ;now;10
Entertainment        ;oscars;10
Entertainment        ;performs;10
Entertainment        ;scott;10
Entertainment        ;searched;10
Entertainment        ;talks;10
Entertainment        ;taste;10
Entertainment        ;their;10
Entertainment        ;twitter;10
Entertainment        ;webs;10
Entertainment        ;years;10
Gaming               ;e3;10
Gaming               ;official;10
Lifestyle            ;casey;10
Lifestyle            ;does;10
Lifestyle            ;easy;10
Lifestyle            ;every;10
Lifestyle            ;expensive;10
Lifestyle            ;foundation;10
Lifestyle            ;into;10
Lifestyle            ;love;10
Lifestyle            ;miss;10
Lifestyle            ;mom;10
Lifestyle            ;not;10
Lifestyle            ;off;10
Lifestyle            ;one;10
Lifestyle            ;people;10
Lifestyle            ;ready;10
Lifestyle            ;things;10
Lifestyle            ;week;10
Music                ;american;10
Music                ;boy;10
Music                ;chris;10
Music                ;home;10
Music                ;lounge;10
Music                ;mendes;10
Music                ;more;10
Music                ;puth;10
Music                ;shawn;10
Music                ;sheeran;10
Music                ;swift;10
Music                ;ë°©íƒ„ì†œë…„ë‹¨;10
Science & Politics   ;5;10
Science & Politics   ;could;10
Science & Politics   ;fire;10
Science & Politics   ;hawaii;10
Science & Politics   ;launch;10
Science & Politics   ;like;10
Science & Politics   ;made;10
Science & Politics   ;man;10
Science & Politics   ;markle;10
Science & Politics   ;most;10
Science & Politics   ;nassar;10
Science & Politics   ;olympics;10
Science & Politics   ;senate;10
Science & Politics   ;south;10
Science & Politics   ;train;10
Science & Politics   ;video;10
Science & Politics   ;â€“;10
Sports               ;allstar;10
Sports               ;ball;10
