day;hour;category_title;count
3;10                                                                                                  ;Entertainment        ;1
3;10                                                                                                  ;Lifestyle            ;1
3;10                                                                                                  ;Science & Politics   ;1
3;10                                                                                                  ;Theater & Animation  ;2
3;11                                                                                                  ;Entertainment        ;2
3;11                                                                                                  ;Lifestyle            ;1
3;11                                                                                                  ;Science & Politics   ;1
3;11                                                                                                  ;Sports               ;1
3;11                                                                                                  ;Theater & Animation  ;2
3;12                                                                                                  ;Entertainment        ;4
3;12                                                                                                  ;Music                ;1
3;12                                                                                                  ;Science & Politics   ;6
3;12                                                                                                  ;Theater & Animation  ;1
3;13                                                                                                  ;Entertainment        ;4
3;13                                                                                                  ;Lifestyle            ;3
3;13                                                                                                  ;Music                ;1
3;13                                                                                                  ;Science & Politics   ;2
3;13                                                                                                  ;Theater & Animation  ;1
3;14                                                                                                  ;Entertainment        ;4
3;14                                                                                                  ;Lifestyle            ;4
3;14                                                                                                  ;Music                ;2
3;14                                                                                                  ;Science & Politics   ;7
3;14                                                                                                  ;Sports               ;1
3;14                                                                                                  ;Theater & Animation  ;1
3;15                                                                                                  ;Entertainment        ;2
3;15                                                                                                  ;Lifestyle            ;5
3;15                                                                                                  ;Music                ;3
3;15                                                                                                  ;Science & Politics   ;7
3;15                                                                                                  ;Sports               ;1
3;15                                                                                                  ;Theater & Animation  ;2
3;16                                                                                                  ;Entertainment        ;3
3;16                                                                                                  ;Gaming               ;2
3;16                                                                                                  ;Lifestyle            ;10
3;16                                                                                                  ;Music                ;4
3;16                                                                                                  ;Science & Politics   ;6
3;16                                                                                                  ;Sports               ;1
3;16                                                                                                  ;Theater & Animation  ;2
3;17                                                                                                  ;Entertainment        ;8
3;17                                                                                                  ;Lifestyle            ;3
3;17                                                                                                  ;Music                ;3
3;17                                                                                                  ;Science & Politics   ;5
3;17                                                                                                  ;Sports               ;1
3;17                                                                                                  ;Theater & Animation  ;7
3;18                                                                                                  ;Entertainment        ;7
3;18                                                                                                  ;Gaming               ;1
3;18                                                                                                  ;Lifestyle            ;4
3;18                                                                                                  ;Music                ;2
3;18                                                                                                  ;Science & Politics   ;2
3;18                                                                                                  ;Theater & Animation  ;8
3;19                                                                                                  ;Entertainment        ;5
3;19                                                                                                  ;Lifestyle            ;2
3;19                                                                                                  ;Science & Politics   ;2
3;19                                                                                                  ;Theater & Animation  ;1
3;20                                                                                                  ;Entertainment        ;3
3;20                                                                                                  ;Lifestyle            ;6
3;20                                                                                                  ;Music                ;2
3;20                                                                                                  ;Science & Politics   ;1
3;20                                                                                                  ;Sports               ;1
3;20                                                                                                  ;Theater & Animation  ;3
3;21                                                                                                  ;Entertainment        ;4
3;21                                                                                                  ;Lifestyle            ;2
3;21                                                                                                  ;Music                ;1
3;21                                                                                                  ;Science & Politics   ;4
3;21                                                                                                  ;Theater & Animation  ;2
3;22                                                                                                  ;Entertainment        ;2
3;22                                                                                                  ;Lifestyle            ;3
3;22                                                                                                  ;Science & Politics   ;5
3;22                                                                                                  ;Sports               ;1
3;22                                                                                                  ;Theater & Animation  ;2
3;23                                                                                                  ;Entertainment        ;2
