snippet/title;title;thumbnail_link;hour_of_publish;week_day
Lifestyle            ;1992 Chevy Lumina Euro commercial                                                                   ;https://i.ytimg.com/vi/0f7CuSU_huU/default.jpg       ;16                                                                                                  ;1
Entertainment        ;The Black Dot of Death Crashes iPhones! Beware                                                      ;https://i.ytimg.com/vi/0fepqIO57f8/default.jpg       ;02                                                                                                  ;4
Theater & Animation  ;Whitney Official Teaser Trailer | In Theaters July 6                                                ;https://i.ytimg.com/vi/0GKC_nj7B44/default.jpg       ;13                                                                                                  ;6
Theater & Animation  ;How To Make Your Own Subway Sandwich                                                                ;https://i.ytimg.com/vi/0gW9EnfWzDw/default.jpg       ;14                                                                                                  ;4
Entertainment        ;Can a Little Tikes Car FLY!?                                                                        ;https://i.ytimg.com/vi/0H-JHIGRRNM/default.jpg       ;18                                                                                                  ;6
Entertainment        ;My therapist, Dr. Plier                                                                             ;https://i.ytimg.com/vi/0I9vWjc9nao/default.jpg       ;23                                                                                                  ;2
Science & Politics   ;When Harry met Barack: Prince interviews former US president                                        ;https://i.ytimg.com/vi/0IC3II1i5yM/default.jpg       ;18                                                                                                  ;1
Entertainment        ;WINCHESTER - Official Trailer - HD (Helen Mirren, Jason Clarke)                                     ;https://i.ytimg.com/vi/0Juc2cL26mg/default.jpg       ;18                                                                                                  ;5
Music                ;Juicy J - Kamasutra (Audio) ft. Cardi B                                                             ;https://i.ytimg.com/vi/0KFC9dZ7bxU/default.jpg       ;13                                                                                                  ;6
Entertainment        ;Are we ready to get married?                                                                        ;https://i.ytimg.com/vi/0l35jAGQPOI/default.jpg       ;17                                                                                                  ;1
Entertainment        ;10,000 Calorie Baconator Challenge!! (11 Burgers)                                                   ;https://i.ytimg.com/vi/0lr497GhD04/default.jpg       ;01                                                                                                  ;3
Sports               ;First Take reacts to Zaza Pachulia falling on Russell Westbrook | First Take | ESPN                 ;https://i.ytimg.com/vi/0mAS2Gxs08w/default.jpg       ;15                                                                                                  ;2
Entertainment        ;I Became My Sim For A Day *CHALLENGE*                                                               ;https://i.ytimg.com/vi/0MyCrMrkMFo/default.jpg       ;18                                                                                                  ;5
Theater & Animation  ;Honest workout routine                                                                              ;https://i.ytimg.com/vi/0noUI5HLY4I/default.jpg       ;17                                                                                                  ;2
Gaming               ;Nintendo Switch Nindies Showcase Spring 2018                                                        ;https://i.ytimg.com/vi/0NWKUHl6JLY/default.jpg       ;16                                                                                                  ;3
Entertainment        ;Miranda Sings Hijacks a Stranger's Tinder | Vanity Fair                                             ;https://i.ytimg.com/vi/0O2IAz1E9Ts/default.jpg       ;17                                                                                                  ;5
Entertainment        ;Will It Watermarble?! Sister Edition | Watermarbling 9 random objects in nail polish!               ;https://i.ytimg.com/vi/0PpNlNJ6Nng/default.jpg       ;19                                                                                                  ;7
Science & Politics   ;ZUMA Mission                                                                                        ;https://i.ytimg.com/vi/0PWu3BRxn60/default.jpg       ;01                                                                                                  ;2
Science & Politics   ;Trump wanted a parade. He might get one.                                                            ;https://i.ytimg.com/vi/0q9Cm11d-fE/default.jpg       ;23                                                                                                  ;3
Lifestyle            ;Brain Games for Old Dogs Could Improve Their Mental Health | National Geographic                    ;https://i.ytimg.com/vi/0QOPb9DlOfY/default.jpg       ;13                                                                                                  ;5
Science & Politics   ;What If You Didn't Sleep For A Week? ft. TheOdd1sOut                                                ;https://i.ytimg.com/vi/0r-zYs6NQu8/default.jpg       ;13                                                                                                  ;2
Lifestyle            ;Brad and Sean Evans Make Cast-Iron Pizza | It's Alive | Bon Appétit                                ;https://i.ytimg.com/vi/0Rt329xQUjM/default.jpg       ;16                                                                                                  ;3
Entertainment        ;I could NOT RESIST! This track is Ridiculous. Congrats, Jaden.                                      ;https://i.ytimg.com/vi/0TNVthqZ3uc/default.jpg       ;17                                                                                                  ;3
Lifestyle            ;Bike Check - My freak bikes                                                                         ;https://i.ytimg.com/vi/0ufNmUyf2co/default.jpg       ;00                                                                                                  ;5
Theater & Animation  ;Christopher Robin Official Trailer                                                                  ;https://i.ytimg.com/vi/0URpDxIjZrQ/default.jpg       ;19                                                                                                  ;6
Entertainment        ;I Pretended To Be A Model On A Shoot For Jigsaw                                                     ;https://i.ytimg.com/vi/0vhxoVwqZkk/default.jpg       ;01                                                                                                  ;5
Sports               ;Maia and Alex Shibutani, Ice Dancing Siblings, Talk Firsts | Teen Vogue                             ;https://i.ytimg.com/vi/0vXLU9BnDPc/default.jpg       ;18                                                                                                  ;3
Science & Politics   ;Multiple Casualties And Injuries Reported As Amtrak Train Derails Near Seattle | TIME               ;https://i.ytimg.com/vi/0XARMt12oFk/default.jpg       ;18                                                                                                  ;2
Music                ;The Making Of “Wakanda�? With Ludwig Göransson | Presented By Marvel Studio’s Black Panther   ;https://i.ytimg.com/vi/0XtCnGT0B20/default.jpg       ;23                                                                                                  ;6
Entertainment        ;Merry Christmas in Dominoes! 🎅�?� (Christmas Card)                                              ;https://i.ytimg.com/vi/0ycLaWymtKk/default.jpg       ;18                                                                                                  ;7
Science & Politics   ;Veteran Congressman John Conyers Announces He Is Retiring | The View                                ;https://i.ytimg.com/vi/0ZAA9Y4F37I/default.jpg       ;16                                                                                                  ;3
Lifestyle            ;Historical Misconceptions For You to Bring Up during Family Dinner                                  ;https://i.ytimg.com/vi/0zMSMJZc9EA/default.jpg       ;17                                                                                                  ;2
