category_title;word;likes;dislikes;comments;views;days_until_trendy
Lifestyle            ;13118;5649.0;202.0;1432.0;646742.0;7.0
Lifestyle            ;conor;5649.0;202.0;1432.0;646742.0;7.0
Lifestyle            ;floyd;5649.0;202.0;1432.0;646742.0;7.0
Lifestyle            ;mayweather;5649.0;202.0;1432.0;646742.0;7.0
Lifestyle            ;mcgregor;5649.0;202.0;1432.0;646742.0;7.0
Lifestyle            ;ronda;5649.0;202.0;1432.0;646742.0;7.0
Lifestyle            ;rousey;5649.0;202.0;1432.0;646742.0;7.0
Lifestyle            ;talks;5649.0;202.0;1432.0;646742.0;7.0
Music                ;kid;5648.0;1166.0;764.0;198316.0;2.0
Music                ;roll;5648.0;1166.0;764.0;198316.0;2.0
Science & Politics   ;off;5642.0;1662.0;5154.0;624650.0;6.0
Lifestyle            ;patricks;5634.0;382.0;793.0;194257.0;13.0
Lifestyle            ;st;5634.0;382.0;793.0;194257.0;13.0
Science & Politics   ;format;5632.0;257.0;773.0;224317.0;7.0
Science & Politics   ;laserdisc;5632.0;257.0;773.0;224317.0;7.0
Science & Politics   ;ultimately;5632.0;257.0;773.0;224317.0;7.0
Lifestyle            ;delaware;5630.0;249.0;0.0;299365.0;10.0
Lifestyle            ;linemen;5630.0;249.0;0.0;299365.0;10.0
Lifestyle            ;power;5630.0;249.0;0.0;299365.0;10.0
Lifestyle            ;puerto;5630.0;249.0;0.0;299365.0;10.0
Lifestyle            ;rico;5630.0;249.0;0.0;299365.0;10.0
Theater & Animation  ;seth;5621.0;362.0;627.0;402765.0;3.0
Sports               ;shot;5619.0;122.0;782.0;361620.0;3.0
Science & Politics   ;guatemala;5616.0;764.0;4456.0;931823.0;4.0
Entertainment        ;barbra;5616.0;74.0;497.0;174569.0;1.0
Entertainment        ;dinners;5616.0;74.0;497.0;174569.0;1.0
Entertainment        ;streisand;5616.0;74.0;497.0;174569.0;1.0
Music                ;town;5611.0;216.0;220.0;423541.0;11.0
Gaming               ;now;5607.0;520.0;1228.0;684610.0;7.0
Science & Politics   ;common;5607.0;531.0;1012.0;266966.0;6.0
